estacion_codigo;zona_calidad_aire_descripcion;estacion_municipio;estacion_fecha_alta;estacion_tipo_area;estacion_tipo_estacion;estacion_subarea_rural;estacion_direccion_postal;estacion_coord_UTM_ETRS89_x;estacion_coord_UTM_ETRS89_y;estacion_coord_longitud;estacion_coord_latitud;estacion_altitud;estacion_analizador_NO;estacion_analizador_NO2;estacion_analizador_PM10;estacion_analizador_PM2_5;estacion_analizador_PM1;estacion_analizador_O3;estacion_analizador_O3Q;estacion_analizador_TOL;estacion_analizador_BEN;estacion_analizador_XIL;estacion_analizador_CO;estacion_analizador_SO2;estacion_analizador_HCT;estacion_analizador_HNM
28005002;Zona 2 Aglomeración Corredor del Henares;Alcalá de Henares;2000/03/16 00:00:00.000;Urbana;Tráfico;No aplica;C.E.I.P. Manuel Azańa, Avda. del Ejército, 5;467965,0;4481027,0;"03°22'40,0""W";"40°28'45,0""N";595;Si;Si;Si;Si;No;Si;No;No;No;No;Si;Si;No;No
28006004;Zona 2 Aglomeración Corredor del Henares;Alcobendas;2000/01/19 00:00:00.000;Urbana;Tráfico;No aplica;Parque de Andalucía, C/ Pintor Murillo;445256,0;4487842,0;"03°38'42,7""W";"40°32'25,8""N";688;Si;Si;Si;No;No;Si;No;Si;Si;Si;No;No;Si;Si
28007004;Zona 3 Aglomeración Urbana Sur;Alcorcón;2008/09/11 00:00:00.000;Urbana;Fondo;No aplica;Colegio Blas de Otero, Avda. del Oeste, 4;429193,0;4466058,0;"03°50'01,4""W";"40°20'30,9""N";693;Si;Si;No;Si;No;Si;No;No;No;No;No;No;No;No
28009001;Zona 2 Aglomeración Corredor del Henares;Algete;2007/03/31 00:00:00.000;Suburbana;Fondo;No aplica;Parque Europa, C/ Humilladero con C/ Francisco Quevedo;457418,0;4494454,0;03°30'11,8''W;40°35'59,1''N;800;Si;Si;No;Si;No;Si;No;No;No;No;No;No;No;No
28013002;Zona 3 Aglomeración Urbana Sur;Aranjuez;2001/10/06 00:00:00.000;Suburbana;Fondo;No aplica;Polideportivo Municipal Agustín Marańón, C/ Moreras (C/ Primero de Mayo, 4);449540,0;4431617,0;03°35'29,1''W;40°01'59,8''N;501;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28014002;Zona 2 Aglomeración Corredor del Henares;Arganda del Rey;2006/04/25 00:00:00.000;Urbana;Industrial;No aplica;Punto Limpio, C/ Río Tajuńa, 5;460997,0;4461247,0;"03°27'32,0""W";"40°18'02,9""N";586;Si;Si;Si;No;No;No;Si;No;No;No;No;No;No;No
28047002;Zona 4 Aglomeración Urbana Noroeste;Collado Villalba;2006/05/31 00:00:00.000;Urbana;Tráfico;No aplica;Colegio Público Rosa Chacel, C/ Santa Teresa de Jesús, 12;414229,0;4498522,0;"04°00'51,1""W";"40°37'59,2""N";873;Si;Si;No;Si;No;Si;No;Si;Si;Si;No;Si;Si;Si
28045002;Zona 4 Aglomeración Urbana Noroeste;Colmenar Viejo;2001/10/06 00:00:00.000;Urbana;Tráfico;No aplica;Auditorio Municipal, C/ Molino de Viento, s/n;434586,0;4501816,0;03°46'26,0''W;40°39'52,7''N;905;Si;Si;Si;No;No;Si;No;No;No;No;Si;No;No;No
28049003;Zona 2 Aglomeración Corredor del Henares;Coslada;2007/06/05 00:00:00.000;Urbana;Tráfico;No aplica;Polideportivo Municipal Valle Aguado, Avda. José Gárate, 8 (C/ Perú, 17);453962,0;4475734,0;"03°32'32,3""W";"40°25'49,7""N";621;Si;Si;Si;Si;No;Si;No;No;No;No;No;No;No;No
28016001;Zona 5 Sierra Norte;El Atazar;2006/08/22 00:00:00.000;Rural;Fondo;Remota;Instalaciones del Canal de Isabel II;460650,0;4528835,0;"03°28'04,4""W";"40°54'32,6""N";995;Si;Si;Si;Si;No;Si;No;Si;Si;Si;Si;Si;Si;Si
28058004;Zona 3 Aglomeración Urbana Sur;Fuenlabrada;2000/05/01 00:00:00.000;Urbana;Industrial;No aplica;C/ Grecia, 3 (trasera);431915,0;4459315,0;"03°48'03,4""W";"40°16'53,5""N";699;Si;Si;Si;No;No;Si;No;Si;Si;Si;No;No;Si;Si
28065014;Zona 3 Aglomeración Urbana Sur;Getafe;2006/10/31 00:00:00.000;Urbana;Tráfico;No aplica;C.E.I.P. Mariana Pineda, Avda. de las Ciudades, 33; 439085;4462913,0;"03°43'00,7""W";"40°18'52,5""N";667;Si;Si;Si;Si;No;Si;No;No;No;No;No;No;No;No
28067001;Zona 5 Sierra Norte;Guadalix de la Sierra;2006/10/31 00:00:00.000;Rural;Fondo;Regional;Camino de Chozas, s/n;440753,0;4514643,0;"03°42'07,8""W";"40°46'50,3""N";853;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28127004;Zona 4 Aglomeración Urbana Noroeste;Las Rozas;2023/08/01 00:00:00.000;Suburbana;Tráfico;No aplica;Centro de Juventud. Av. Ntra. Seńora del Retamar, 8;424915,0;4483767,0;"03°53'08,1"" W";"40°30'02,3"" N";718;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28074007;Zona 3 Aglomeración Urbana Sur;Leganés;2000/05/01 00:00:00.000;Urbana;Tráfico;No aplica;C.E.P.A. Rosalía de Castro, C/ Roncal (Avda. de la Mancha, 50);435921,0;4465738,0;"03°45'16,3""W";"40°20'23,2""N";676;Si;Si;Si;Si;Si;Si;No;No;No;No;No;No;No;No
28080003;Zona 4 Aglomeración Urbana Noroeste;Majadahonda;2001/10/06 00:00:00.000;Suburbana;Fondo;No aplica;Campo de golf, C/ Isaac Albéniz;426307,0;4477644,0;03°52'08,4''W;40°26'46,3''N;360;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28092005;Zona 3 Aglomeración Urbana Sur;Móstoles;2000/05/01 00:00:00.000;Suburbana;Fondo;No aplica;Parque Liana; 425511;4464112,0;"03°52'36,3""W";"40°19'27,2""N";660;Si;Si;Si;No;Si;Si;No;No;No;No;Si;Si;No;No
28102001;Zona 7 Cuenca del Tajuńa;Orusco de Tajuńa;2006/09/29 00:00:00.000;Rural;Fondo;Remota;Camino forestal de acceso al repetidor de telefonía;481211,0;4459697,0;"03°13'16,0""W";"40°17'15,3""N";800;Si;Si;Si;No;No;Si;No;No;No;No;Si;Si;No;No
28106001;Zona 3 Aglomeración Urbana Sur;Parla;2023/08/03 00:00:00.000;Suburbana;Tráfico;No aplica;Calle Villafranca de los Caballeros, 25 (recinto de la Policía Local de Parla).;445936,0;4455279,0;"03°46'17,0"" W";"40°14'45,3"" N";648;Si;Si;No;Si;No;Si;No;No;No;No;No;No;No;No
28115003;Zona 4 Aglomeración Urbana Noroeste;Pozuelo de Alarcón;2023/08/14 00:00:00.000;Suburbana;Tráfico;No aplica;Avenida de Juan XXIII, 6-8. ;424854,0;4477699,0;"03°48'28,8"" W";"40°26'47,8"" N";690;Si;Si;No;Si;No;Si;No;No;No;No;No;No;No;No
28120001;Zona 5 Sierra Norte;Puerto de Cotos (Rascafría);2019/01/01 00:00:00.000;Rural;Fondo;Remota;Centro de ViSitantes Peńalara, Ctra. M-604, km 42 (Puerto de Cotos, Rascafría);418948,0;4519787,0;"03°57'40,3""W";"40°49'30,4""N";1870;Si;Si;Si;Si;No;Si;No;No;No;No;No;No;No;No
28123002;Zona 2 Aglomeración Corredor del Henares;Rivas-Vaciamadrid;2006/08/02 00:00:00.000;Suburbana;Fondo;No aplica;Polideportivo Cerro del Telégrafo, C/ Juncal (Avda. Los Almendros, 1);453906,0;4467825,0;"03°32'34,3""W";"40°21'35,1""N";608;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28133002;Zona 6 Cuenca del Alberche;San Martín de ValdeigleSias;2006/08/24 00:00:00.000;Rural;Fondo;Regional;C/ Depósito s/n;381298,0;4469516,0;"04°23'53,2""W";"40°22'03,9""N";549;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28134002;Zona 2 Aglomeración Corredor del Henares;San Sebastian de los Reyes;2023/08/10 00:00:00.000;Suburbana;Fondo;No aplica;"Polideportivo Municipal Dehesa Boyal (junto al Centro de Naturaleza); Avda. Navarrondan, s/n.";446195,0;4491219,0;"03°38'08,4"" W";"40°34'11"" N";672;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No
28148004;Zona 2 Aglomeración Corredor del Henares;Torrejón de Ardoz;2005/01/01 00:00:00.000;Suburbana;Fondo;No aplica;Parque del Ocio;459497,0;4477763,0;"03°28'39,5""W";"40°26'58,4""N";597;Si;Si;Si;Si;No;Si;No;No;No;No;No;No;No;No
28161001;Zona 3 Aglomeración Urbana Sur;Valdemoro;2006/07/27 00:00:00.000;Suburbana;Fondo;No aplica;Colegio Público Pedro Antonio de Alarcón, C/ Artemisa, 5;442088,0;4448543,0;"03°40'49,0""W";"40°11'06,9""N";615;Si;Si;No;Si;No;Si;No;No;No;No;No;No;No;No
28171001;Zona 6 Cuenca del Alberche;Villa del Prado;2006/06/14 00:00:00.000;Rural;Fondo;Remota;Hospital Virgen de la Poveda, C/ Alejandro Peris Barrios, km. 5;391546,0;4456055,0;"04°16'32,4""W";"40°14'55,4""N";510;Si;Si;Si;Si;No;Si;No;No;No;No;Si;Si;No;No
28180001;Zona 7 Cuenca del Tajuńa;Villarejo de Salvanés;2006/04/25 00:00:00.000;Suburbana;Tráfico;No aplica;I.E.S. Nuestra Seńora de la Victoria de Lepanto, C/ Luis de Requesens, 1-3;476441,0;4446350,0;"03°16'36,0""W";"40°10'02,0""N";764;Si;Si;No;Si;No;Si;No;No;No;No;No;No;No;No
